Data collection started on {11/05/2018 14:39:22.676}
[Time] 	 [G1.X] 	 [G1.Y] 	 [G1.Z] 	 [G2.X] 	 [G2.Y] 	 [G2.Z] 	 [G3.X] 	 [G3.Y] 	 [G3.Z] 	 [G4.X] 	 [G4.Y] 	 [G4.Z] 	 [A1.X] 	 [A1.Y] 	 [A1.Z] 	 [A2.X] 	 [A2.Y] 	 [A2.Z] 	 [A3.X] 	 [A3.Y] 	 [A3.Z] 	 [A4.X] 	 [A4.Y] 	 [A4.Z] 	 [M1.X] 	 [M1.Y] 	 [M1.Z] 	 [M2.X] 	 [M2.Y] 	 [M2.Z] 	 [M3.X] 	 [M3.Y] 	 [M3.Z] 	 [M4.X] 	 [M4.Y] 	 [M4.Z] 	 [EMG1] 	 [EMG2] 	 [PULSE A] 	 [PULSE B]
0.2000000000	-0.1754787518	-6.7521171893	2.5253681239	-1.2283512627	-0.7248035401	-0.4196231022	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1127336538	-0.5501182574	-0.8161135271	0.0575570306	-0.0059205005	-0.9423361563	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0303654536	-0.1626306554	0.0318913558	0.0151064317	-0.0873121233	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.1055161364	2.7783627070	0.8250125887	2.4750377661	
0.2200000000	-0.9689478904	-6.7368581674	2.8305485618	-1.3809414817	-0.4806591897	-0.0381475547	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1139543755	-0.5493858244	-0.8172121767	0.0449835966	0.0131227588	-0.9431906615	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0348210880	0.0307927062	-0.1620813306	0.0294499123	0.0147402152	-0.0761425193	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.1140611887	2.7856870375	0.8250125887	2.4750377661	
0.2400000000	-0.6485084306	-6.9657434958	2.3727779049	2.2964827955	1.1673151751	0.7858396277	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1152971695	-0.5405966278	-0.8192874037	0.0419317922	0.0108033875	-0.9374532692	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0343938354	0.0301823453	-0.1624475471	0.0305485618	0.0120546273	-0.0765697719	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0920881971	2.7588311589	0.8250125887	2.4750377661	
0.2600000000	1.1215381094	-6.9352254520	2.3880369268	0.6942854963	1.7318989853	0.4654001678	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1181048295	-0.5366903182	-0.8224612802	0.0411993591	-0.0071412222	-0.9433127337	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0340886549	0.0299992370	-0.1628747997	0.0256046387	0.0157167926	-0.0854200046	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0859845884	2.7563897154	0.8250125887	2.4750377661	
0.2800000000	0.5722133211	-6.4316777295	2.7389944305	-0.2517738613	2.4032959487	0.8316166934	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1194476234	-0.5470664530	-0.8194094759	0.0419317922	0.0042114900	-0.9373311971	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0345769436	0.0309147784	-0.1622644388	0.0304264897	0.0137026017	-0.0855420768	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0835431449	2.7551689937	0.8250125887	2.4750377661	
0.3000000000	0.2059967956	-6.2790875105	2.4643320363	0.4501411460	2.4795910582	1.5182726787	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1167620356	-0.5443808652	-0.8187991150	0.0484016175	0.0000610361	-0.9361104753	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0342107271	0.0306095979	-0.1626306554	0.0286564431	0.0154116121	-0.0801098650	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0798809796	2.7539482719	0.8250125887	2.4750377661	
0.3200000000	0.8316166934	-6.1570153353	2.4032959487	-0.2975509270	1.8844892042	0.9994659342	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1174944686	-0.5426718547	-0.8202639811	0.0498664836	0.0017700465	-0.9440451667	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0347600519	0.0310368505	-0.1622034028	0.0307316701	0.0119935912	-0.0946974899	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0798809796	2.7527275502	0.8250125887	2.4750377661	
0.3400000000	0.8926527810	-5.8976119631	2.5253681239	-0.1907377737	1.6403448539	0.9842069123	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1150530251	-0.5473105974	-0.8179446098	0.0484016175	0.0046997787	-0.9442893111	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0347600519	0.0310978866	-0.1612268254	0.0307927062	0.0168764782	-0.0963454643	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0786602579	2.7527275502	0.8250125887	2.4750377661	
0.3600000000	0.6790264744	-6.5384908827	2.6626993210	1.1367971313	1.2283512627	1.1062790875	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1127336538	-0.5474326696	-0.8196536202	0.0525520714	0.0086060883	-0.9390402075	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0348821241	0.0306095979	-0.1608606088	0.0307927062	0.0146791791	-0.0870069429	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0774395361	2.7527275502	0.8250125887	2.4750377661	
0.3800000000	1.0757610437	-6.2790875105	2.5406271458	0.4348821241	0.2212558175	1.0147249561	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	0.0076295109	-0.1102922103	-0.5460898756	-0.8195315480	0.0538948653	0.0036011292	-0.9469748989	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0000610361	0.0345769436	0.0323796445	-0.1603723201	0.0309147784	0.0137026017	-0.0874341955	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	0.0000305180	3.0774395361	2.7527275502	0.8250125887	2.4750377661	
